idpago,idsiniestro,estado,fecha_pago,importe_pago,tipo_pago
1,2565,AN,9999-12-31,24173,T
2,2084,CO,2021-09-10,24489,E
3,1428,CO,2021-03-17,72587,T
4,3370,AN,9999-12-31,45194,E
5,895,AN,9999-12-31,90838,T
6,3645,CO,2021-12-08,8482,E
7,2283,AN,9999-12-31,33009,T
8,3937,CO,2020-11-10,82722,E
9,89,CO,2021-12-15,8636,E
10,1421,AN,9999-12-31,46374,E
11,3233,CO,2021-08-09,39382,T
12,1616,AN,9999-12-31,37588,T
13,310,AN,9999-12-31,57505,T
14,2469,CO,2021-09-24,58275,E
15,3658,AN,9999-12-31,27268,E
16,3133,AN,9999-12-31,12750,T
17,409,CO,2020-12-11,47920,E
18,850,CO,2021-02-18,93216,T
19,1947,CO,2021-05-04,57296,E
20,3379,AN,9999-12-31,46702,E
21,681,AN,9999-12-31,40293,T
22,3472,CO,2021-04-12,31357,E
23,1493,CO,2022-01-30,22565,E
24,1878,AN,9999-12-31,6959,T
25,863,CO,2021-04-14,79346,T
26,1766,CO,2021-11-12,37820,E
27,66,AN,9999-12-31,22069,T
28,3119,CO,2022-04-29,50310,E
29,3662,CO,2021-11-08,28780,E
30,3224,CO,2021-06-05,38986,T
31,273,AN,9999-12-31,77919,T
32,58,AN,9999-12-31,12319,E
33,2233,AN,9999-12-31,53562,T
34,2048,CO,2021-01-19,50481,E
35,1770,AN,9999-12-31,3166,E
36,3752,CO,2022-02-20,24859,T
37,1094,CO,2021-06-13,27669,E
38,1297,CO,2021-04-10,42758,T
39,1706,CO,2022-02-25,34840,T
40,3698,AN,9999-12-31,69681,E
41,2513,AN,9999-12-31,80722,E
42,1927,AN,9999-12-31,72870,T
43,2107,AN,9999-12-31,47348,E
44,3215,AN,9999-12-31,25517,T
45,2823,AN,9999-12-31,28072,E
46,1993,CO,2022-05-05,2654,T
47,1949,CO,2021-05-19,89286,T
48,969,AN,9999-12-31,17596,E
49,3656,AN,9999-12-31,41575,T
50,1390,CO,2021-05-30,95949,E
51,2065,CO,2021-04-13,95401,E
52,1198,CO,2020-10-26,82344,E
53,2024,AN,9999-12-31,5681,E
54,1792,AN,9999-12-31,32357,E
55,2909,CO,2021-11-08,41325,E
56,2980,AN,9999-12-31,40128,E
57,810,AN,9999-12-31,174,E
58,2886,AN,9999-12-31,57383,E
59,634,CO,2022-02-28,84975,T
60,2920,CO,2021-08-03,11430,E
61,1638,CO,2021-06-30,68685,T
62,2606,CO,2021-05-11,92198,T
63,2399,AN,9999-12-31,40834,E
64,982,AN,9999-12-31,43610,E
65,3434,CO,2020-12-05,32332,E
66,2271,CO,2021-05-26,94032,T
67,3196,CO,2022-06-30,8158,E
68,496,AN,9999-12-31,60293,E
69,2742,CO,2022-02-27,38221,E
70,3794,AN,9999-12-31,81391,T
71,1559,CO,2021-11-16,12806,T
72,1208,AN,9999-12-31,59416,T
73,1183,AN,9999-12-31,198,T
74,3883,AN,9999-12-31,84112,T
75,3859,CO,2021-03-10,31110,E
76,3761,AN,9999-12-31,92171,E
77,3605,AN,9999-12-31,58054,E
78,1356,AN,9999-12-31,31263,E
79,1375,CO,2021-10-07,34538,T
80,786,AN,9999-12-31,56703,E
81,585,CO,2022-03-01,86104,T
82,3974,AN,9999-12-31,99598,T
83,3728,AN,9999-12-31,24058,E
84,1851,CO,2021-10-27,47032,E
85,3933,CO,2021-01-26,74138,E
86,1002,AN,9999-12-31,36559,T
87,18,AN,9999-12-31,40853,T
88,2450,AN,9999-12-31,86210,T
89,3242,CO,2022-01-03,46900,T
90,3425,CO,2021-12-08,31504,E
91,3738,CO,2020-10-15,51523,T
92,1678,CO,2021-08-06,90596,T
93,3704,CO,2021-12-28,28005,T
94,1340,CO,2022-05-27,97968,T
95,3273,AN,9999-12-31,1106,E
96,498,CO,2021-01-06,62849,E
97,1360,CO,2021-10-24,6466,E
98,1918,CO,2020-12-01,79098,T
99,56,CO,2021-05-21,65589,T
100,1252,CO,2021-08-25,62175,E
101,2555,AN,9999-12-31,20665,E
102,3330,CO,2021-10-02,5770,E
103,1895,AN,9999-12-31,35117,E
104,3738,AN,9999-12-31,49045,T
105,2862,CO,2021-04-24,79893,T
106,3,CO,2022-07-04,1126,E
107,1750,AN,9999-12-31,97475,E
108,2220,CO,2021-10-18,58676,T
109,84,AN,9999-12-31,48711,E
110,321,AN,9999-12-31,97382,E
111,1979,AN,9999-12-31,38764,T
112,3800,AN,9999-12-31,35681,T
113,2915,AN,9999-12-31,68432,T
114,1809,CO,2022-05-13,79294,E
115,2678,CO,2021-08-12,74642,E
116,1288,CO,2021-02-09,82347,E
117,3395,CO,2022-06-01,38474,E
118,720,AN,9999-12-31,98522,T
119,1646,AN,9999-12-31,47810,E
120,1591,CO,2021-12-01,28555,T
121,2013,CO,2021-06-26,82834,T
122,1550,CO,2021-11-08,39677,T
123,1166,CO,2022-02-10,23490,T
124,487,AN,9999-12-31,41820,T
125,159,AN,9999-12-31,23403,E
126,2741,AN,9999-12-31,90504,E
127,3003,AN,9999-12-31,52452,T
128,2399,CO,2021-05-13,89099,T
129,3488,CO,2021-10-10,97245,E
130,2639,AN,9999-12-31,12292,E
131,659,AN,9999-12-31,74466,T
132,154,CO,2022-03-19,93662,T
133,2581,CO,2020-10-27,49576,E
134,1216,CO,2021-08-13,16557,T
135,2110,AN,9999-12-31,81944,T
136,106,CO,2021-03-27,26962,T
137,79,CO,2021-02-19,57559,E
138,2822,AN,9999-12-31,40523,E
139,2151,AN,9999-12-31,35915,E
140,2863,AN,9999-12-31,67400,E
141,3277,CO,2021-05-13,59349,E
142,3422,CO,2021-07-23,20692,E
143,386,AN,9999-12-31,14706,T
144,922,CO,2021-08-31,33481,E
145,768,CO,2022-01-17,23457,E
146,2004,AN,9999-12-31,90097,E
147,373,CO,2022-05-18,55384,E
148,1975,AN,9999-12-31,88007,E
149,3817,AN,9999-12-31,83029,E
150,2760,CO,2021-02-19,51114,T
151,2592,AN,9999-12-31,57714,T
152,1297,AN,9999-12-31,34342,T
153,2153,AN,9999-12-31,55967,E
154,82,AN,9999-12-31,29511,E
155,654,AN,9999-12-31,35761,E
156,211,AN,9999-12-31,76398,T
157,334,CO,2020-11-14,71735,E
158,2456,AN,9999-12-31,20824,T
159,1386,AN,9999-12-31,142,T
160,3053,AN,9999-12-31,47187,E
161,415,CO,2021-06-14,9130,E
162,1833,CO,2021-12-25,64917,T
163,2326,CO,2020-12-12,97053,T
164,1456,CO,2020-12-04,62836,E
165,56,CO,2020-11-20,30523,T
166,2055,CO,2021-01-14,10874,T
167,3687,AN,9999-12-31,22309,E
168,1124,AN,9999-12-31,41011,T
169,3793,CO,2021-04-14,6537,E
170,3319,AN,9999-12-31,88615,E
171,1058,CO,2020-12-01,80523,T
172,998,AN,9999-12-31,17516,E
173,2043,CO,2021-02-07,33196,T
174,590,CO,2022-03-09,34148,E
175,305,CO,2021-01-23,42676,T
176,1528,CO,2021-12-29,87359,T
177,158,CO,2020-11-12,94475,T
178,2609,CO,2021-07-16,8094,E
179,1838,CO,2021-01-14,47770,T
180,3093,AN,9999-12-31,80341,T
181,3079,CO,2022-01-17,96327,E
182,3008,CO,2022-03-08,87031,T
183,494,CO,2021-12-25,62626,E
184,510,CO,2021-11-16,73443,T
185,2498,AN,9999-12-31,84940,E
186,46,AN,9999-12-31,58813,E
187,2960,CO,2022-04-05,20495,T
188,1840,CO,2021-01-21,28782,E
189,1867,CO,2022-02-03,7228,T
190,2488,CO,2021-11-01,83187,T
191,3251,CO,2020-12-27,54589,T
192,2479,AN,9999-12-31,40412,T
193,2725,AN,9999-12-31,59831,E
194,2328,AN,9999-12-31,49996,E
195,2172,CO,2020-12-26,22187,E
196,2357,AN,9999-12-31,521,T
197,3699,CO,2022-02-02,34427,T
198,2607,CO,2021-02-20,44188,T
199,149,CO,2021-02-11,56484,T
200,108,AN,9999-12-31,34910,E
201,2597,CO,2020-12-20,74238,E
202,1692,AN,9999-12-31,50022,T
203,3866,CO,2021-01-01,29802,T
204,3342,AN,9999-12-31,52549,T
205,1266,CO,2021-10-11,90746,E
206,2431,AN,9999-12-31,62454,T
207,1423,AN,9999-12-31,82189,T
208,1827,CO,2021-01-25,20521,T
209,3922,AN,9999-12-31,89561,T
210,1833,CO,2021-03-29,78990,T
211,829,AN,9999-12-31,82879,E
212,3464,CO,2021-11-30,30039,T
213,2167,CO,2021-11-01,68713,T
214,2075,CO,2022-01-05,10803,E
215,2810,CO,2021-11-22,12176,E
216,1339,CO,2021-12-11,42255,T
217,1844,AN,9999-12-31,95798,E
218,2461,CO,2022-01-15,44929,T
219,818,CO,2021-05-24,95711,E
220,3878,AN,9999-12-31,75146,T
221,2724,AN,9999-12-31,3977,T
222,3757,AN,9999-12-31,78476,E
223,749,AN,9999-12-31,24582,T
224,3340,AN,9999-12-31,54989,E
225,2818,CO,2021-03-10,1316,E
226,2979,CO,2022-01-18,20781,E
227,3339,AN,9999-12-31,70937,T
228,3234,CO,2021-08-14,65607,E
229,781,CO,2021-01-03,87563,E
230,2834,CO,2022-06-23,36112,T
231,300,AN,9999-12-31,70632,T
232,2954,CO,2021-04-26,78791,T
233,560,AN,9999-12-31,53591,E
234,2327,CO,2022-02-04,65657,E
235,2894,AN,9999-12-31,99146,E
236,2947,CO,2021-11-20,11554,T
237,1166,AN,9999-12-31,95887,T
238,861,CO,2021-06-22,84410,T
239,2292,AN,9999-12-31,89325,T
240,3101,AN,9999-12-31,83472,T
241,3686,CO,2020-10-26,14252,T
242,2430,CO,2020-12-15,4408,E
243,96,CO,2022-01-29,91679,T
244,936,AN,9999-12-31,62854,T
245,2730,AN,9999-12-31,75265,T
246,2314,CO,2021-11-03,24941,T
247,1713,AN,9999-12-31,2953,E
248,3725,CO,2021-02-16,64198,E
249,2632,CO,2021-08-03,77336,E
250,708,AN,9999-12-31,69175,E
251,3336,CO,2022-01-13,21462,T
252,200,AN,9999-12-31,83831,T
253,2213,AN,9999-12-31,46921,E
254,2449,AN,9999-12-31,11376,T
255,1007,CO,2021-10-17,29163,T
256,1252,CO,2021-04-26,48637,T
257,1055,AN,9999-12-31,23418,T
258,3774,CO,2022-06-21,98603,E
259,324,AN,9999-12-31,43982,T
260,2020,AN,9999-12-31,85451,T
261,3888,AN,9999-12-31,70110,T
262,1237,AN,9999-12-31,56318,T
263,1905,CO,2021-10-06,81769,E
264,3129,CO,2021-11-22,90943,E
265,3767,AN,9999-12-31,96379,E
266,3606,AN,9999-12-31,3013,E
267,1872,AN,9999-12-31,12544,T
268,3679,CO,2021-11-16,62890,T
269,1617,CO,2022-05-23,28947,E
270,2559,CO,2021-02-02,62506,T
271,641,CO,2022-03-26,31077,E
272,3854,AN,9999-12-31,20963,T
273,80,CO,2021-08-24,4137,T
274,2615,AN,9999-12-31,39358,T
275,1010,AN,9999-12-31,5784,T
276,739,CO,2021-04-14,6314,T
277,2352,CO,2020-11-02,81780,T
278,2483,AN,9999-12-31,40142,E
279,1362,CO,2022-07-03,48842,E
280,2073,CO,2020-12-19,57975,T
281,1880,CO,2022-05-13,41763,E
282,2862,AN,9999-12-31,89991,T
283,2266,CO,2021-04-08,73896,T
284,889,CO,2020-12-28,98019,T
285,2695,CO,2021-05-16,10942,E
286,352,AN,9999-12-31,84233,T
287,2770,AN,9999-12-31,98703,T
288,2345,CO,2021-06-21,38098,E
289,3758,AN,9999-12-31,49395,E
290,1305,AN,9999-12-31,75633,T
291,720,CO,2021-09-08,35148,E
292,3165,AN,9999-12-31,19206,E
293,915,CO,2021-09-28,85812,T
294,215,CO,2021-06-18,32280,T
295,2151,AN,9999-12-31,85539,E
296,3727,AN,9999-12-31,73155,T
297,3746,CO,2022-07-02,18360,E
298,1828,CO,2021-10-23,10850,E
299,1653,CO,2020-11-20,43693,E
300,3689,CO,2022-06-25,44436,E
301,1150,AN,9999-12-31,20821,T
302,3520,CO,2020-12-20,87770,E
303,3320,AN,9999-12-31,42872,E
304,1442,CO,2021-09-28,4813,E
305,3380,CO,2022-04-16,21520,E
306,2623,CO,2020-10-24,29849,E
307,3534,AN,9999-12-31,37079,E
308,1637,CO,2021-10-17,3382,T
309,3485,AN,9999-12-31,21577,T
310,335,CO,2021-11-19,65766,E
311,57,AN,9999-12-31,48648,E
312,1921,AN,9999-12-31,47970,E
313,2809,CO,2021-09-09,48085,T
314,1939,AN,9999-12-31,42149,T
315,2177,CO,2021-07-09,33656,E
316,93,CO,2021-12-05,49000,E
317,3317,CO,2021-12-20,96613,E
318,2822,AN,9999-12-31,77890,E
319,853,AN,9999-12-31,48879,E
320,994,AN,9999-12-31,51920,T
321,3296,CO,2022-01-12,66601,E
322,579,AN,9999-12-31,94134,E
323,1067,CO,2021-11-03,7933,E
324,2761,CO,2021-06-21,27422,T
325,3370,CO,2021-01-31,48314,E
326,3405,CO,2022-06-20,1166,T
327,1814,AN,9999-12-31,84230,T
328,2299,CO,2020-11-15,55748,T
329,652,CO,2021-12-15,16883,E
330,3886,AN,9999-12-31,32762,E
331,2517,CO,2021-01-28,99137,T
332,2046,AN,9999-12-31,23464,E
333,1096,AN,9999-12-31,54508,T
334,1286,CO,2021-01-16,35256,E
335,1598,AN,9999-12-31,12576,T
336,622,AN,9999-12-31,1113,T
337,2186,CO,2020-12-06,79165,E
338,3306,AN,9999-12-31,98130,T
339,123,CO,2021-04-14,50321,E
340,66,AN,9999-12-31,44535,T
341,86,AN,9999-12-31,70802,E
342,1529,AN,9999-12-31,57845,T
343,3731,AN,9999-12-31,91530,E
344,245,CO,2022-01-15,91505,T
345,565,AN,9999-12-31,99618,T
346,1862,AN,9999-12-31,25260,E
347,234,CO,2021-09-15,5083,E
348,1076,CO,2022-04-09,76455,T
349,1576,CO,2021-03-28,89643,E
350,80,AN,9999-12-31,74077,T
351,1063,CO,2021-01-24,46209,T
352,3564,CO,2021-10-18,76101,T
353,3878,CO,2022-06-29,75127,E
354,521,AN,9999-12-31,91519,T
355,419,CO,2020-11-25,97476,T
356,3178,CO,2021-11-07,61130,E
357,1513,AN,9999-12-31,55741,T
358,563,AN,9999-12-31,72150,E
359,2757,CO,2020-12-15,52966,E
360,2514,AN,9999-12-31,61632,E
361,1156,CO,2021-04-12,58072,E
362,445,AN,9999-12-31,24551,T
363,850,AN,9999-12-31,50972,T
364,3112,CO,2021-04-04,21607,E
365,1137,CO,2020-10-19,97025,T
366,1393,AN,9999-12-31,3840,E
367,1742,AN,9999-12-31,57121,E
368,2964,AN,9999-12-31,86321,E
369,476,CO,2022-01-19,64094,E
370,472,CO,2022-04-09,30516,T
371,133,CO,2020-11-23,72720,E
372,2057,CO,2022-03-28,4094,E
373,3612,AN,9999-12-31,27402,T
374,1103,AN,9999-12-31,75865,T
375,3077,AN,9999-12-31,29366,E
376,486,AN,9999-12-31,83901,T
377,96,CO,2021-10-01,17912,E
378,3750,AN,9999-12-31,12925,E
379,2006,CO,2022-03-10,55571,E
380,2842,AN,9999-12-31,50585,T
381,2775,CO,2022-03-05,85662,E
382,2783,AN,9999-12-31,58122,E
383,2144,AN,9999-12-31,16099,T
384,1741,AN,9999-12-31,47693,T
385,2875,AN,9999-12-31,34048,E
386,2836,CO,2021-05-19,12019,E
387,3164,AN,9999-12-31,84948,E
388,2563,AN,9999-12-31,41863,E
389,1146,AN,9999-12-31,99198,T
390,3866,AN,9999-12-31,9137,E
391,465,AN,9999-12-31,65189,T
392,720,AN,9999-12-31,16584,E
393,680,CO,2021-04-06,91550,E
394,704,AN,9999-12-31,54018,T
395,2848,CO,2022-01-09,28430,T
396,832,AN,9999-12-31,25325,T
397,3606,CO,2020-12-01,56472,T
398,3012,AN,9999-12-31,31541,E
399,2319,CO,2021-03-08,95946,E
400,1149,CO,2021-10-15,96675,E
401,2639,AN,9999-12-31,12234,T
402,1250,CO,2021-03-25,19948,T
403,1246,CO,2022-02-18,2090,E
404,198,CO,2021-06-02,70157,E
405,659,AN,9999-12-31,14441,T
406,1249,AN,9999-12-31,34526,E
407,320,AN,9999-12-31,52066,E
408,3152,AN,9999-12-31,44860,E
409,1762,AN,9999-12-31,54780,E
410,2540,CO,2022-03-30,40956,T
411,2876,CO,2020-12-27,51946,E
412,69,CO,2020-12-04,24326,E
413,2772,CO,2021-06-05,96577,T
414,1116,CO,2022-04-19,57260,E
415,105,AN,9999-12-31,16456,T
416,2972,CO,2021-08-30,61883,T
417,3101,CO,2022-02-25,1998,T
418,1689,AN,9999-12-31,91452,T
419,140,AN,9999-12-31,78013,E
420,356,CO,2022-02-19,78230,E
