idrecibo,fecha_emision,fecha_efecto,idpoliza,situacion,origen,importe_prima,importe_consorcio,importe_comision
1,2020-12-27,2020-12-28,1556,AN,MA,63586,34,63
2,2020-10-29,2020-10-30,600,CO,MA,92469,4,19
3,2020-10-17,2020-10-18,1153,AN,AU,91992,17,64
4,2022-02-15,2022-02-16,1326,AN,MA,8746,28,96
5,2022-02-09,2022-02-10,118,AN,MA,37950,34,45
6,2022-06-15,2022-06-16,1787,AN,MA,46362,2,66
7,2022-03-14,2022-03-15,1663,CO,MA,63519,10,59
8,2021-07-03,2021-07-04,135,CO,AU,19811,17,29
9,2021-12-09,2021-12-10,237,AN,AU,11813,17,71
10,2021-01-11,2021-01-12,161,CO,AU,79464,8,2
11,2020-11-02,2020-11-03,1365,AN,AU,95395,29,85
12,2021-03-26,2021-03-27,1068,CO,MA,35777,18,56
13,2021-09-10,2021-09-11,119,AN,MA,91610,9,70
14,2022-05-29,2022-05-30,1967,AN,AU,68306,18,86
15,2022-03-26,2022-03-27,75,CO,MA,41089,6,55
16,2021-08-12,2021-08-13,1555,AN,AU,26255,10,43
17,2021-06-06,2021-06-07,1758,CO,MA,59380,11,56
18,2021-04-27,2021-04-28,1452,AN,AU,7147,10,69
19,2020-12-08,2020-12-09,455,AN,MA,8930,27,93
20,2020-12-02,2020-12-03,1253,AN,MA,22568,10,36
21,2022-05-09,2022-05-10,837,CO,MA,60536,7,43
22,2021-10-24,2021-10-25,301,AN,AU,11429,26,30
23,2021-08-09,2021-08-10,1590,CO,MA,22637,11,80
24,2022-03-13,2022-03-14,524,AN,MA,49096,16,4
25,2020-12-28,2020-12-29,1996,AN,MA,29684,9,31
26,2022-01-18,2022-01-19,1746,AN,MA,18487,11,30
27,2021-07-02,2021-07-03,308,AN,MA,27227,11,39
28,2021-12-19,2021-12-20,1751,AN,MA,97004,6,80
29,2020-11-13,2020-11-14,1783,AN,MA,31714,26,82
30,2021-05-01,2021-05-02,724,CO,MA,77536,2,96
31,2022-04-18,2022-04-19,358,AN,AU,72671,14,22
32,2021-05-23,2021-05-24,366,AN,MA,13984,18,55
33,2022-02-28,2022-03-01,93,AN,AU,1144,7,28
34,2021-05-26,2021-05-27,841,AN,AU,66769,12,82
35,2021-11-27,2021-11-28,1558,AN,AU,35937,8,11
36,2022-03-23,2022-03-24,722,CO,MA,38358,10,56
37,2021-01-29,2021-01-30,1647,CO,MA,54179,34,70
38,2022-03-28,2022-03-29,1731,CO,MA,76473,11,81
39,2020-12-03,2020-12-04,553,CO,AU,19806,24,77
40,2021-02-23,2021-02-24,226,CO,MA,17375,30,93
41,2021-09-30,2021-10-01,1800,AN,MA,82293,18,51
42,2020-12-04,2020-12-05,1390,AN,AU,19680,17,30
43,2021-07-28,2021-07-29,777,CO,AU,79975,33,78
44,2021-03-02,2021-03-03,841,AN,MA,44917,2,2
45,2021-02-16,2021-02-17,1970,CO,AU,62200,18,64
46,2021-04-02,2021-04-03,1139,CO,AU,18667,11,49
47,2021-10-28,2021-10-29,1857,AN,AU,86298,19,33
48,2021-12-28,2021-12-29,1211,AN,AU,13951,10,84
49,2022-03-24,2022-03-25,1983,CO,MA,28736,21,52
50,2022-01-14,2022-01-15,1452,CO,AU,30647,14,38
51,2021-03-11,2021-03-12,1420,CO,MA,57537,24,32
52,2020-10-12,2020-10-13,595,CO,MA,64049,8,10
53,2021-10-13,2021-10-14,1591,CO,MA,66257,12,6
54,2022-01-25,2022-01-26,1152,CO,MA,58853,19,22
55,2020-11-17,2020-11-18,1783,CO,AU,72536,33,59
56,2021-01-20,2021-01-21,1646,CO,MA,74853,5,23
57,2021-12-27,2021-12-28,688,CO,MA,69123,26,33
58,2020-10-23,2020-10-24,814,CO,MA,39887,6,8
59,2021-01-24,2021-01-25,424,CO,MA,70156,19,68
60,2021-10-02,2021-10-03,131,AN,AU,30862,10,41
61,2022-01-11,2022-01-12,1711,AN,AU,12731,29,68
62,2020-12-18,2020-12-19,1099,CO,AU,67056,32,69
63,2021-05-12,2021-05-13,1800,AN,AU,8934,14,92
64,2022-04-04,2022-04-05,97,CO,MA,69995,27,23
65,2020-12-23,2020-12-24,1714,CO,MA,3923,13,4
66,2021-05-09,2021-05-10,273,CO,AU,19147,19,6
67,2021-04-01,2021-04-02,1754,AN,AU,55328,32,22
68,2022-01-16,2022-01-17,285,AN,MA,12888,9,6
69,2021-11-21,2021-11-22,332,AN,AU,67692,22,93
70,2021-06-04,2021-06-05,1201,AN,AU,81305,2,32
71,2021-09-09,2021-09-10,1006,AN,AU,41995,29,23
72,2021-03-26,2021-03-27,308,CO,AU,92061,15,1
73,2021-06-07,2021-06-08,1948,AN,MA,30752,10,19
74,2021-05-21,2021-05-22,1039,CO,MA,50616,33,48
75,2021-08-18,2021-08-19,1846,AN,MA,45485,30,30
76,2022-04-11,2022-04-12,338,AN,AU,10066,3,16
77,2021-05-09,2021-05-10,1185,CO,MA,843,13,6
78,2021-12-03,2021-12-04,420,CO,AU,46780,1,27
79,2021-10-06,2021-10-07,604,AN,MA,58494,28,14
80,2022-05-05,2022-05-06,241,CO,MA,54027,10,6
81,2021-12-27,2021-12-28,335,AN,MA,85341,12,28
82,2021-01-27,2021-01-28,1128,AN,AU,91037,24,88
83,2021-06-11,2021-06-12,1426,AN,AU,25617,5,26
84,2021-04-05,2021-04-06,1788,CO,AU,68063,19,41
85,2021-12-13,2021-12-14,1532,AN,MA,14315,5,48
86,2022-04-29,2022-04-30,902,AN,MA,61862,9,78
87,2022-01-07,2022-01-08,1934,CO,MA,35598,32,15
88,2020-10-10,2020-10-11,1621,CO,MA,86986,33,38
89,2022-05-13,2022-05-14,1407,AN,AU,49893,19,66
90,2021-12-17,2021-12-18,1801,CO,AU,68282,28,24
91,2021-01-30,2021-01-31,1802,CO,MA,91739,19,30
92,2021-04-04,2021-04-05,849,AN,AU,65964,10,56
93,2020-12-09,2020-12-10,372,AN,AU,68278,18,96
94,2021-02-18,2021-02-19,1567,CO,MA,75590,26,75
95,2021-08-18,2021-08-19,370,CO,AU,13021,6,29
96,2021-02-08,2021-02-09,1464,CO,MA,33997,14,74
97,2020-12-08,2020-12-09,836,AN,MA,30781,26,15
98,2021-09-10,2021-09-11,544,CO,AU,57932,4,42
99,2022-04-27,2022-04-28,1926,AN,MA,25692,15,37
100,2022-01-12,2022-01-13,240,CO,MA,47402,25,74
101,2021-06-14,2021-06-15,107,CO,AU,55786,20,33
102,2021-09-16,2021-09-17,584,CO,AU,71816,5,4
103,2021-06-19,2021-06-20,665,CO,MA,44903,28,75
104,2021-04-14,2021-04-15,136,AN,AU,13174,4,72
105,2020-11-03,2020-11-04,1292,AN,MA,36743,9,31
106,2020-12-02,2020-12-03,987,AN,AU,87595,17,16
107,2021-06-20,2021-06-21,775,CO,MA,89077,14,78
108,2021-11-07,2021-11-08,1917,CO,MA,26061,23,39
109,2021-10-05,2021-10-06,13,CO,MA,86217,6,48
110,2020-12-20,2020-12-21,813,CO,AU,84146,1,19
111,2020-12-19,2020-12-20,1720,CO,AU,88492,33,80
112,2020-12-15,2020-12-16,1781,CO,MA,75578,13,70
113,2021-01-21,2021-01-22,508,AN,MA,71713,28,25
114,2021-12-25,2021-12-26,1187,CO,AU,56592,19,6
115,2022-05-16,2022-05-17,692,CO,MA,63508,17,82
116,2021-03-02,2021-03-03,760,CO,AU,56970,9,63
117,2021-11-08,2021-11-09,266,CO,AU,30892,23,3
118,2020-10-26,2020-10-27,832,CO,MA,89809,13,34
119,2021-07-08,2021-07-09,1242,AN,AU,60692,1,99
120,2022-05-12,2022-05-13,1168,CO,MA,21582,3,65
121,2022-03-23,2022-03-24,119,CO,AU,61130,27,87
122,2022-03-19,2022-03-20,1504,AN,AU,49965,21,32
123,2021-09-18,2021-09-19,615,AN,AU,94397,13,26
124,2020-12-05,2020-12-06,1841,CO,MA,79695,20,35
125,2022-06-02,2022-06-03,523,AN,MA,51595,5,8
126,2021-09-12,2021-09-13,1362,AN,AU,44316,17,30
127,2021-08-19,2021-08-20,1301,CO,AU,34411,30,6
128,2022-04-29,2022-04-30,934,AN,AU,40385,4,98
129,2022-03-13,2022-03-14,539,AN,MA,80678,17,85
130,2022-04-20,2022-04-21,1481,AN,AU,10047,24,94
131,2020-12-30,2020-12-31,1473,AN,AU,68213,16,62
132,2022-03-08,2022-03-09,534,AN,AU,43230,9,71
133,2022-06-26,2022-06-27,834,AN,MA,72087,11,64
134,2021-04-20,2021-04-21,85,CO,MA,90792,10,58
135,2022-06-03,2022-06-04,1865,AN,AU,68258,14,57
136,2021-09-24,2021-09-25,1020,CO,AU,6354,6,82
137,2021-04-14,2021-04-15,489,AN,MA,6148,30,51
138,2022-05-07,2022-05-08,113,CO,AU,89624,6,75
139,2021-04-20,2021-04-21,1353,AN,MA,93572,21,62
140,2021-03-29,2021-03-30,1816,AN,MA,42302,3,73
141,2020-12-09,2020-12-10,682,AN,AU,24912,7,32
142,2022-03-20,2022-03-21,1468,AN,AU,85632,14,65
143,2020-11-23,2020-11-24,1720,CO,MA,22212,19,74
144,2020-10-30,2020-10-31,1802,CO,MA,49399,22,17
145,2021-06-17,2021-06-18,1611,CO,AU,62190,13,15
146,2021-08-29,2021-08-30,382,AN,MA,57410,24,11
147,2020-12-11,2020-12-12,1498,CO,MA,44868,32,9
148,2022-02-06,2022-02-07,816,AN,AU,33962,21,23
149,2021-03-31,2021-04-01,75,AN,AU,91687,12,19
150,2021-12-04,2021-12-05,971,CO,AU,2441,26,45
151,2021-06-12,2021-06-13,24,CO,MA,54396,22,20
152,2021-01-27,2021-01-28,1538,AN,AU,57982,16,35
153,2022-05-25,2022-05-26,932,AN,MA,52272,5,2
154,2022-02-10,2022-02-11,734,AN,MA,27955,2,91
155,2020-11-08,2020-11-09,19,CO,AU,88707,29,84
156,2020-11-12,2020-11-13,1231,CO,AU,73162,10,45
157,2022-07-02,2022-07-03,1742,AN,MA,16725,8,49
158,2022-03-13,2022-03-14,322,AN,MA,537,23,55
159,2021-10-18,2021-10-19,1996,CO,AU,82523,30,9
160,2022-05-19,2022-05-20,1681,CO,MA,82808,30,79
161,2021-01-01,2021-01-02,312,CO,MA,65849,16,49
