num_poliza,tarifa,situacion,fecha_alta,fecha_baja,importe_prima
1,TF1,B,2021-12-29,2022-04-29,24307
1,TS1,B,2021-12-29,2022-04-29,0
2,TS1,A,2021-05-19,9999-12-31,41163
2,TF1,A,2021-05-19,9999-12-31,0
3,TS1,B,2022-01-05,2021-04-06,91472
3,TF1,B,2022-01-05,2021-04-06,0
4,TF1,B,2022-05-08,2021-11-25,67791
4,TS1,B,2022-05-08,2021-11-25,0
5,TS1,B,2021-10-27,2021-11-25,67504
5,TF1,B,2021-10-27,2021-11-25,0
6,TS1,A,2021-02-03,9999-12-31,58145
6,TF1,A,2021-02-03,9999-12-31,0
7,TF1,A,2021-10-09,9999-12-31,74081
7,TS1,A,2021-10-09,9999-12-31,0
8,TF1,A,2022-05-08,9999-12-31,41486
8,TS1,A,2022-05-08,9999-12-31,0
9,TS1,A,2021-12-06,9999-12-31,44589
9,TF1,A,2021-12-06,9999-12-31,0
10,TF1,A,2021-10-26,9999-12-31,49211
10,TS1,A,2021-10-26,9999-12-31,0
11,TS1,A,2021-08-14,9999-12-31,67708
11,TF1,A,2021-08-14,9999-12-31,0
12,TF1,B,2021-08-05,2021-05-27,93931
12,TS1,B,2021-08-05,2021-05-27,0
13,TF1,A,2021-12-03,9999-12-31,15152
13,TS1,A,2021-12-03,9999-12-31,0
14,TS1,A,2021-02-24,9999-12-31,17587
14,TF1,A,2021-02-24,9999-12-31,0
15,TS1,A,2021-01-14,9999-12-31,19179
15,TF1,A,2021-01-14,9999-12-31,0
16,TS1,B,2021-06-04,2022-05-29,79826
16,TF1,B,2021-06-04,2022-05-29,0
17,TF1,B,2022-01-16,2022-05-23,70155
17,TS1,B,2022-01-16,2022-05-23,0
18,TF1,B,2021-10-06,2022-05-19,426
18,TS1,B,2021-10-06,2022-05-19,0
19,TS1,B,2021-12-13,2021-09-28,79215
19,TF1,B,2021-12-13,2021-09-28,0
20,TS1,A,2022-01-12,9999-12-31,42245
20,TF1,A,2022-01-12,9999-12-31,0
21,TF1,B,2022-05-29,2021-09-05,97978
21,TS1,B,2022-05-29,2021-09-05,0
22,TF1,B,2022-01-18,2021-10-24,39127
22,TS1,B,2022-01-18,2021-10-24,0
23,TS1,A,2021-08-11,9999-12-31,15441
23,TF1,A,2021-08-11,9999-12-31,0
24,TF1,B,2021-08-08,2021-02-28,37894
24,TS1,B,2021-08-08,2021-02-28,0
25,TF1,A,2022-05-30,9999-12-31,33651
25,TS1,A,2022-05-30,9999-12-31,0
26,TS1,B,2021-04-21,2021-05-23,23428
26,TF1,B,2021-04-21,2021-05-23,0
27,TF1,B,2020-12-14,2021-01-17,72891
27,TS1,B,2020-12-14,2021-01-17,0
28,TF1,B,2021-03-14,2022-05-05,3428
28,TS1,B,2021-03-14,2022-05-05,0
29,TS1,A,2021-09-24,9999-12-31,13153
29,TF1,A,2021-09-24,9999-12-31,0
30,TS1,A,2021-11-22,9999-12-31,51821
30,TF1,A,2021-11-22,9999-12-31,0
31,TF1,B,2021-01-28,2021-09-14,31007
31,TS1,B,2021-01-28,2021-09-14,0
32,TF1,B,2022-02-24,2022-04-15,11872
32,TS1,B,2022-02-24,2022-04-15,0
33,TS1,B,2021-01-15,2022-06-15,92032
33,TF1,B,2021-01-15,2022-06-15,0
34,TF1,B,2021-10-17,2020-11-01,98359
34,TS1,B,2021-10-17,2020-11-01,0
35,TF1,A,2021-11-12,9999-12-31,17506
35,TS1,A,2021-11-12,9999-12-31,0
36,TF1,B,2021-08-27,2021-11-08,18872
36,TS1,B,2021-08-27,2021-11-08,0
37,TS1,B,2022-02-20,2022-03-04,88247
37,TF1,B,2022-02-20,2022-03-04,0
38,TS1,B,2020-10-11,2022-02-21,45190
38,TF1,B,2020-10-11,2022-02-21,0
39,TF1,A,2022-05-27,9999-12-31,98566
39,TS1,A,2022-05-27,9999-12-31,0
40,TS1,A,2022-05-13,9999-12-31,81436
40,TF1,A,2022-05-13,9999-12-31,0
41,TS1,B,2022-01-12,2022-04-19,33957
41,TF1,B,2022-01-12,2022-04-19,0
42,TS1,A,2021-03-28,9999-12-31,16680
42,TF1,A,2021-03-28,9999-12-31,0
43,TF1,A,2021-08-08,9999-12-31,98025
43,TS1,A,2021-08-08,9999-12-31,0
44,TS1,B,2021-10-20,2021-10-15,54467
44,TF1,B,2021-10-20,2021-10-15,0
45,TS1,B,2020-10-29,2021-07-24,3050
45,TF1,B,2020-10-29,2021-07-24,0
46,TF1,B,2022-05-03,2020-10-29,20563
46,TS1,B,2022-05-03,2020-10-29,0
47,TF1,B,2021-09-27,2021-05-15,56758
47,TS1,B,2021-09-27,2021-05-15,0
48,TS1,A,2021-03-24,9999-12-31,77695
48,TF1,A,2021-03-24,9999-12-31,0
49,TF1,A,2022-04-11,9999-12-31,87124
49,TS1,A,2022-04-11,9999-12-31,0
50,TF1,A,2022-02-10,9999-12-31,58270
50,TS1,A,2022-02-10,9999-12-31,0
51,TF1,B,2021-05-01,2021-08-13,17548
51,TS1,B,2021-05-01,2021-08-13,0
52,TF1,B,2020-10-21,2022-04-14,31021
52,TS1,B,2020-10-21,2022-04-14,0
53,TF1,A,2021-04-01,9999-12-31,7309
53,TS1,A,2021-04-01,9999-12-31,0
54,TS1,A,2020-10-26,9999-12-31,28231
54,TF1,A,2020-10-26,9999-12-31,0
55,TF1,B,2022-03-30,2022-04-13,2828
55,TS1,B,2022-03-30,2022-04-13,0
56,TS1,B,2021-12-30,2022-03-07,81089
56,TF1,B,2021-12-30,2022-03-07,0
57,TF1,A,2021-08-23,9999-12-31,55546
57,TS1,A,2021-08-23,9999-12-31,0
58,TS1,A,2021-10-22,9999-12-31,91415
58,TF1,A,2021-10-22,9999-12-31,0
59,TS1,A,2022-04-11,9999-12-31,47933
59,TF1,A,2022-04-11,9999-12-31,0
60,TF1,A,2021-12-08,9999-12-31,86840
60,TS1,A,2021-12-08,9999-12-31,0
61,TS1,B,2021-09-11,2021-11-05,7623
61,TF1,B,2021-09-11,2021-11-05,0
62,TF1,A,2022-01-28,9999-12-31,1001
62,TS1,A,2022-01-28,9999-12-31,0
63,TS1,A,2021-01-26,9999-12-31,21750
63,TF1,A,2021-01-26,9999-12-31,0
64,TS1,B,2020-12-19,2020-10-21,1436
64,TF1,B,2020-12-19,2020-10-21,0
65,TS1,B,2020-11-02,2021-03-01,8583
65,TF1,B,2020-11-02,2021-03-01,0
66,TF1,A,2022-03-16,9999-12-31,99866
66,TS1,A,2022-03-16,9999-12-31,0
67,TS1,A,2020-11-22,9999-12-31,88793
67,TF1,A,2020-11-22,9999-12-31,0
68,TF1,B,2021-10-19,2021-07-11,45964
68,TS1,B,2021-10-19,2021-07-11,0
69,TS1,B,2021-06-18,2021-01-10,18989
69,TF1,B,2021-06-18,2021-01-10,0
70,TF1,A,2021-02-13,9999-12-31,98908
70,TS1,A,2021-02-13,9999-12-31,0
71,TS1,A,2020-12-03,9999-12-31,82818
71,TF1,A,2020-12-03,9999-12-31,0
72,TF1,A,2021-03-17,9999-12-31,61549
72,TS1,A,2021-03-17,9999-12-31,0
73,TF1,B,2022-01-16,2021-03-03,51156
73,TS1,B,2022-01-16,2021-03-03,0
74,TS1,B,2022-05-16,2022-01-22,70899
74,TF1,B,2022-05-16,2022-01-22,0
75,TS1,A,2022-04-10,9999-12-31,88973
75,TF1,A,2022-04-10,9999-12-31,0
76,TS1,B,2022-03-29,2021-01-10,96684
76,TF1,B,2022-03-29,2021-01-10,0
77,TF1,A,2022-05-15,9999-12-31,47622
77,TS1,A,2022-05-15,9999-12-31,0
78,TS1,B,2021-05-28,2021-12-04,70608
78,TF1,B,2021-05-28,2021-12-04,0
79,TS1,A,2021-09-13,9999-12-31,87917
79,TF1,A,2021-09-13,9999-12-31,0
80,TS1,B,2020-11-02,2021-02-07,83959
80,TF1,B,2020-11-02,2021-02-07,0
81,TF1,B,2021-06-04,2021-11-24,69650
81,TS1,B,2021-06-04,2021-11-24,0
82,TF1,B,2021-10-10,2022-02-19,55047
82,TS1,B,2021-10-10,2022-02-19,0
83,TF1,A,2021-06-23,9999-12-31,90161
83,TS1,A,2021-06-23,9999-12-31,0
84,TF1,B,2022-05-16,2021-04-07,30084
84,TS1,B,2022-05-16,2021-04-07,0
85,TS1,B,2021-07-30,2020-11-18,3189
85,TF1,B,2021-07-30,2020-11-18,0
86,TF1,A,2022-03-05,9999-12-31,68890
86,TS1,A,2022-03-05,9999-12-31,0
87,TS1,B,2022-03-17,2022-03-26,81250
87,TF1,B,2022-03-17,2022-03-26,0
88,TS1,A,2022-04-10,9999-12-31,11919
88,TF1,A,2022-04-10,9999-12-31,0
89,TF1,A,2021-04-14,9999-12-31,80319
89,TS1,A,2021-04-14,9999-12-31,0
90,TS1,B,2021-03-10,2020-11-30,74865
90,TF1,B,2021-03-10,2020-11-30,0
91,TF1,B,2022-03-16,2021-03-12,13255
91,TS1,B,2022-03-16,2021-03-12,0
92,TF1,A,2022-05-02,9999-12-31,71342
92,TS1,A,2022-05-02,9999-12-31,0
93,TS1,B,2021-11-10,2022-03-13,12639
93,TF1,B,2021-11-10,2022-03-13,0
94,TS1,A,2021-11-12,9999-12-31,99644
94,TF1,A,2021-11-12,9999-12-31,0
95,TF1,A,2022-01-18,9999-12-31,79390
95,TS1,A,2022-01-18,9999-12-31,0
96,TF1,B,2021-09-12,2021-07-13,135
96,TS1,B,2021-09-12,2021-07-13,0
97,TS1,A,2022-01-08,9999-12-31,69831
97,TF1,A,2022-01-08,9999-12-31,0
98,TS1,B,2022-06-02,2021-01-21,35316
98,TF1,B,2022-06-02,2021-01-21,0
99,TF1,B,2022-02-24,2021-08-06,92927
99,TS1,B,2022-02-24,2021-08-06,0
100,TS1,B,2022-06-21,2022-03-15,54050
100,TF1,B,2022-06-21,2022-03-15,0
101,TS1,A,2022-03-24,9999-12-31,27791
101,TF1,A,2022-03-24,9999-12-31,0
102,TS1,B,2021-01-18,2021-01-04,46957
102,TF1,B,2021-01-18,2021-01-04,0
103,TS1,B,2021-02-13,2022-01-26,77665
103,TF1,B,2021-02-13,2022-01-26,0
104,TS1,A,2020-10-16,9999-12-31,46398
104,TF1,A,2020-10-16,9999-12-31,0
105,TS1,A,2020-12-29,9999-12-31,72460
105,TF1,A,2020-12-29,9999-12-31,0
106,TS1,A,2022-04-05,9999-12-31,58915
106,TF1,A,2022-04-05,9999-12-31,0
107,TS1,B,2021-02-01,2021-04-30,65832
107,TF1,B,2021-02-01,2021-04-30,0
108,TS1,B,2022-06-06,2021-11-22,13019
108,TF1,B,2022-06-06,2021-11-22,0
109,TS1,B,2020-11-01,2021-04-28,4070
109,TF1,B,2020-11-01,2021-04-28,0
110,TF1,B,2020-10-16,2022-05-04,72055
110,TS1,B,2020-10-16,2022-05-04,0
111,TF1,B,2021-01-07,2022-06-03,15687
111,TS1,B,2021-01-07,2022-06-03,0
112,TF1,B,2021-05-31,2021-09-19,57255
112,TS1,B,2021-05-31,2021-09-19,0
113,TF1,B,2021-03-04,2022-06-04,68308
113,TS1,B,2021-03-04,2022-06-04,0
114,TS1,B,2021-06-07,2021-09-30,99003
114,TF1,B,2021-06-07,2021-09-30,0
115,TF1,B,2021-10-24,2021-03-12,41117
115,TS1,B,2021-10-24,2021-03-12,0
116,TF1,A,2021-08-31,9999-12-31,43592
116,TS1,A,2021-08-31,9999-12-31,0
117,TS1,B,2021-06-21,2020-12-13,35518
117,TF1,B,2021-06-21,2020-12-13,0
118,TS1,B,2021-12-08,2020-12-31,64339
118,TF1,B,2021-12-08,2020-12-31,0
119,TS1,A,2022-06-20,9999-12-31,34671
119,TF1,A,2022-06-20,9999-12-31,0
120,TF1,A,2021-02-12,9999-12-31,16116
120,TS1,A,2021-02-12,9999-12-31,0
121,TS1,A,2020-10-18,9999-12-31,48628
121,TF1,A,2020-10-18,9999-12-31,0
122,TS1,B,2021-11-17,2021-07-31,15053
122,TF1,B,2021-11-17,2021-07-31,0
123,TS1,B,2021-10-20,2022-05-27,166
