idcliente,numpoliza,tipo_intervencio,estado,fecha_alta,fecha_baja,orden_inter
1,1,TO,A,2021-11-28,2020-11-21,1
2,2,TO,B,2021-08-18,9999-12-31,1
3,3,TO,A,2021-05-20,2020-12-28,1
4,4,TO,A,2021-08-19,2022-04-11,1
5,5,TO,B,2021-08-01,9999-12-31,1
6,6,TO,B,2021-12-31,9999-12-31,1
7,7,TO,A,2022-05-21,2020-11-19,1
8,8,TO,B,2022-01-05,9999-12-31,1
9,9,TO,A,2021-11-27,2021-02-24,1
10,10,TO,B,2020-12-29,9999-12-31,1
11,11,TO,B,2021-09-28,9999-12-31,1
12,12,TO,B,2021-10-08,9999-12-31,1
13,13,TO,B,2022-06-09,9999-12-31,1
14,14,TO,A,2022-04-12,2022-03-28,1
15,15,TO,B,2021-03-16,9999-12-31,1
16,16,TO,B,2021-03-30,9999-12-31,1
17,17,TO,A,2020-12-15,2021-10-29,1
18,18,TO,A,2021-10-13,2022-06-17,1
19,19,TO,B,2022-02-14,9999-12-31,1
20,20,TO,A,2021-05-01,2021-10-20,1
21,21,TO,B,2022-01-27,9999-12-31,1
22,22,TO,A,2021-04-22,2022-03-03,1
23,23,TO,A,2021-10-06,2021-05-09,1
24,24,TO,B,2022-04-16,9999-12-31,1
25,25,TO,B,2022-06-20,9999-12-31,1
26,26,TO,A,2021-08-18,2021-06-29,1
27,27,TO,A,2022-06-13,2022-04-17,1
28,28,TO,A,2021-06-03,2022-04-28,1
29,29,TO,B,2022-04-04,9999-12-31,1
30,30,TO,A,2022-02-18,2022-03-24,1
31,31,TO,B,2021-08-19,9999-12-31,1
32,32,TO,A,2021-06-25,2022-02-18,1
33,33,TO,A,2022-06-07,2020-10-12,1
34,34,TO,B,2020-11-28,9999-12-31,1
35,35,TO,B,2022-02-13,9999-12-31,1
36,36,TO,B,2021-04-08,9999-12-31,1
37,37,TO,B,2022-03-21,9999-12-31,1
38,38,TO,B,2021-02-05,9999-12-31,1
39,39,TO,B,2021-11-12,9999-12-31,1
40,40,TO,A,2022-04-18,2021-09-24,1
41,41,TO,B,2021-06-11,9999-12-31,1
42,42,TO,A,2022-01-26,2021-02-22,1
43,43,TO,B,2022-03-20,9999-12-31,1
44,44,TO,B,2021-12-27,9999-12-31,1
45,45,TO,A,2022-04-18,2021-09-19,1
46,46,TO,B,2021-10-12,9999-12-31,1
47,47,TO,A,2022-06-02,2022-03-24,1
48,48,TO,A,2020-12-10,2020-10-18,1
49,49,TO,B,2021-05-08,9999-12-31,1
50,50,TO,B,2021-04-04,9999-12-31,1
51,51,TO,B,2021-01-09,9999-12-31,1
52,52,TO,B,2021-07-10,9999-12-31,1
53,53,TO,B,2021-12-30,9999-12-31,1
54,54,TO,A,2021-02-14,2022-04-09,1
55,55,TO,A,2022-02-24,2021-06-26,1
56,56,TO,B,2022-01-18,9999-12-31,1
57,57,TO,A,2022-07-03,2021-07-28,1
58,58,TO,A,2021-10-24,2022-05-16,1
59,59,TO,A,2021-05-17,2021-09-14,1
60,60,TO,B,2021-01-10,9999-12-31,1
61,61,TO,B,2021-10-28,9999-12-31,1
62,62,TO,B,2022-02-09,9999-12-31,1
63,63,TO,A,2021-05-02,2021-01-16,1
64,64,TO,B,2021-06-22,9999-12-31,1
65,65,TO,A,2020-12-15,2022-06-02,1
66,66,TO,B,2021-09-19,9999-12-31,1
67,67,TO,B,2022-01-13,9999-12-31,1
68,68,TO,A,2021-06-30,2022-01-15,1
69,69,TO,B,2021-10-23,9999-12-31,1
70,70,TO,A,2021-05-31,2020-12-06,1
71,71,TO,B,2021-10-18,9999-12-31,1
72,72,TO,A,2021-11-23,2021-03-13,1
73,73,TO,A,2022-01-04,2020-10-25,1
74,74,TO,B,2021-01-02,9999-12-31,1
75,75,TO,A,2021-02-04,2022-07-01,1
76,76,TO,A,2022-02-11,2022-03-06,1
77,77,TO,A,2021-09-19,2022-04-21,1
78,78,TO,A,2022-03-21,2020-10-15,1
79,79,TO,B,2021-07-19,9999-12-31,1
80,80,TO,B,2022-01-27,9999-12-31,1
81,81,TO,B,2021-02-17,9999-12-31,1
82,82,TO,B,2021-10-29,9999-12-31,1
83,83,TO,A,2022-03-11,2021-01-19,1
84,84,TO,A,2022-02-12,2021-08-18,1
85,85,TO,B,2021-07-12,9999-12-31,1
86,86,TO,B,2022-02-07,9999-12-31,1
87,87,TO,B,2022-06-26,9999-12-31,1
88,88,TO,A,2022-06-10,2022-03-25,1
89,89,TO,A,2022-06-10,2021-01-26,1
90,90,TO,A,2021-05-04,2020-12-27,1
91,91,TO,B,2022-01-02,9999-12-31,1
92,92,TO,B,2020-12-19,9999-12-31,1
93,93,TO,B,2021-08-25,9999-12-31,1
94,94,TO,B,2021-11-07,9999-12-31,1
95,95,TO,A,2022-01-22,2021-03-18,1
96,96,TO,A,2021-05-28,2021-10-14,1
97,97,TO,B,2022-05-06,9999-12-31,1
98,98,TO,A,2021-07-13,2020-12-24,1
99,99,TO,B,2022-04-29,9999-12-31,1
100,100,TO,B,2021-05-18,9999-12-31,1
