numpoliza,pol_estado,fecha_efecto,fecha_sol,fecha_vencimiento,forma_pago,fecha_baja,causa_baja,fecha_suspension,causa_suspen
1,PS,2022-03-29,2022-03-28,2023-07-27,M,9999-12-31, ,2022-06-10,FP
2,PA,2021-02-27,2021-02-26,2021-04-29,A,2022-01-06,TR,9999-12-31, 
3,PV,2022-03-18,2022-03-17,2025-04-22,M,9999-12-31, ,9999-12-31, 
4,PS,2021-10-12,2021-10-11,2022-03-08,A,9999-12-31, ,2022-06-10,FP
5,PV,2022-02-20,2022-02-19,2027-05-19,M,9999-12-31, ,9999-12-31, 
6,PV,2022-01-15,2022-01-14,2023-05-13,T,9999-12-31, ,9999-12-31, 
7,PA,2021-12-26,2021-12-25,2027-08-31,S,2022-03-24,CL,9999-12-31, 
8,PS,2020-11-06,2020-11-05,2021-06-12,S,9999-12-31, ,2022-03-24,CL
9,PV,2021-07-14,2021-07-13,2027-12-02,A,9999-12-31, ,9999-12-31, 
10,PV,2021-03-05,2021-03-04,2021-04-22,T,9999-12-31, ,9999-12-31, 
11,PS,2021-01-01,2020-12-31,2030-06-04,S,9999-12-31, ,2022-04-03,FP
12,PV,2020-12-17,2020-12-16,2021-01-15,S,9999-12-31, ,9999-12-31, 
13,PV,2022-02-23,2022-02-22,2026-02-06,U,9999-12-31, ,9999-12-31, 
14,PV,2020-12-01,2020-11-30,2024-12-05,T,9999-12-31, ,9999-12-31, 
15,PS,2021-06-14,2021-06-13,2024-04-19,M,9999-12-31, ,2021-08-28,CL
16,PA,2021-10-31,2021-10-30,2025-06-12,U,2022-02-22,TR,9999-12-31, 
17,PV,2021-07-25,2021-07-24,2026-10-19,T,9999-12-31, ,9999-12-31, 
18,PA,2021-08-31,2021-08-30,2026-06-02,S,2022-02-28,FA,9999-12-31, 
19,PA,2022-03-07,2022-03-06,2029-10-05,U,2022-04-07,FP,9999-12-31, 
20,PV,2022-01-01,2021-12-31,2023-11-05,U,9999-12-31, ,9999-12-31, 
21,PS,2021-08-10,2021-08-09,2030-05-07,T,9999-12-31, ,2022-03-16,CL
22,PS,2021-01-07,2021-01-06,2029-11-04,S,9999-12-31, ,2022-05-09,CL
23,PV,2021-03-31,2021-03-30,2029-01-23,U,9999-12-31, ,9999-12-31, 
24,PA,2020-11-28,2020-11-27,2025-03-13,T,2020-12-22,TR,9999-12-31, 
25,PV,2021-02-18,2021-02-17,2027-09-19,U,9999-12-31, ,9999-12-31, 
26,PA,2022-02-04,2022-02-03,2026-12-01,A,2022-04-29,FP,9999-12-31, 
27,PV,2022-06-22,2022-06-21,2025-02-20,T,9999-12-31, ,9999-12-31, 
28,PS,2021-10-27,2021-10-26,2023-04-24,M,9999-12-31, ,2021-11-20,CL
29,PS,2021-05-16,2021-05-15,2029-12-03,M,9999-12-31, ,2021-09-07,CL
30,PA,2020-12-09,2020-12-08,2025-12-27,M,2021-05-20,FP,9999-12-31, 
31,PV,2022-03-01,2022-02-28,2024-01-03,T,9999-12-31, ,9999-12-31, 
32,PS,2021-01-22,2021-01-21,2026-12-19,T,9999-12-31, ,2021-02-06,FP
33,PS,2021-01-14,2021-01-13,2023-11-02,M,9999-12-31, ,2021-12-29,CL
34,PA,2022-05-11,2022-05-10,2022-09-02,T,2022-05-18,CL,9999-12-31, 
35,PS,2021-09-22,2021-09-21,2022-04-26,M,9999-12-31, ,2022-01-02,CL
36,PV,2021-03-13,2021-03-12,2023-11-30,M,9999-12-31, ,9999-12-31, 
37,PA,2021-08-29,2021-08-28,2024-02-08,T,2022-06-09,TR,9999-12-31, 
38,PA,2021-07-10,2021-07-09,2027-03-08,U,2021-10-27,CL,9999-12-31, 
39,PA,2021-07-12,2021-07-11,2027-01-14,M,2021-11-30,FP,9999-12-31, 
40,PS,2022-05-18,2022-05-17,2029-07-14,U,9999-12-31, ,2022-06-25,CL
41,PS,2021-12-23,2021-12-22,2028-08-12,M,9999-12-31, ,2022-05-16,CL
42,PV,2022-04-02,2022-04-01,2023-06-30,M,9999-12-31, ,9999-12-31, 
43,PA,2021-09-10,2021-09-09,2024-04-12,A,2021-12-30,FA,9999-12-31, 
