idsiniestro,idpoliza,fecha_ocurs,fecha_apertura,fecha_cierre,tipo_siniestro,estado
1,1840,2021-09-08,2020-11-19,9999-12-31,FA,AB
2,1365,2022-05-15,2021-11-20,9999-12-31,FA,AB
3,1098,2022-02-08,2021-07-09,2022-03-02,IN,CE
4,1001,2022-06-05,2021-03-05,2021-08-31,RE,CE
5,544,2021-08-14,2022-02-17,2022-05-07,RE,CE
6,662,2021-10-11,2022-05-28,2022-07-04,RE,CE
7,689,2021-04-26,2020-10-13,2021-12-31,FA,CE
8,422,2021-04-29,2022-03-23,2022-05-23,IN,CE
9,743,2022-01-01,2022-04-21,9999-12-31,RE,AB
10,1432,2021-03-02,2022-01-08,2022-02-03,IN,CE
11,13,2021-09-06,2021-08-19,2022-06-02,FA,CE
12,122,2021-11-30,2020-11-25,2020-12-09,FA,CE
13,1747,2021-05-20,2021-01-25,9999-12-31,FA,AB
14,1641,2021-01-06,2022-04-06,9999-12-31,IN,AB
15,1819,2021-12-20,2022-04-07,9999-12-31,RE,AB
16,792,2022-01-14,2021-02-08,2022-02-08,IN,CE
17,1324,2021-05-12,2021-07-28,2021-09-17,FA,CE
18,1530,2021-01-26,2021-05-22,2021-11-19,RE,CE
19,531,2022-06-23,2022-05-07,2022-05-13,IN,CE
20,203,2022-04-19,2021-05-24,9999-12-31,RE,AB
21,1812,2021-05-18,2021-06-07,9999-12-31,RE,AB
22,1146,2021-04-15,2022-01-01,2022-01-03,FA,CE
23,729,2022-05-27,2022-05-31,2022-06-13,FA,CE
24,695,2021-05-11,2021-10-18,2022-05-18,IN,CE
25,1390,2021-06-12,2021-09-19,2021-11-10,FA,CE
26,1875,2022-01-03,2020-10-29,9999-12-31,RE,AB
27,1129,2021-06-05,2022-04-29,2022-05-02,FA,CE
28,465,2022-01-16,2021-09-04,2021-12-29,IN,CE
29,371,2022-01-06,2021-04-21,9999-12-31,RE,AB
30,1440,2021-06-20,2021-01-25,2021-12-06,RE,CE
31,1123,2021-11-21,2020-12-22,2022-06-25,IN,CE
32,757,2022-04-05,2021-04-16,2022-05-20,RE,CE
33,473,2021-01-22,2022-05-04,9999-12-31,IN,AB
34,629,2021-06-19,2022-01-27,9999-12-31,RE,AB
35,158,2020-10-29,2021-07-28,9999-12-31,FA,AB
36,664,2021-09-09,2022-02-01,2022-04-25,IN,CE
37,884,2020-10-20,2022-04-08,2022-06-26,FA,CE
38,1839,2022-01-22,2021-12-07,2022-05-11,RE,CE
39,1228,2022-06-08,2021-03-15,9999-12-31,FA,AB
40,1702,2021-02-17,2022-03-02,9999-12-31,RE,AB
41,500,2022-01-19,2022-06-04,2022-06-30,IN,CE
42,841,2021-11-29,2021-11-23,9999-12-31,IN,AB
43,1144,2021-10-11,2021-10-09,2022-03-14,RE,CE
44,273,2021-03-30,2022-06-15,2022-06-23,IN,CE
45,244,2021-08-28,2021-05-04,2021-12-17,FA,CE
46,1196,2020-10-14,2021-08-31,9999-12-31,IN,AB
47,1798,2022-05-11,2022-05-05,9999-12-31,RE,AB
48,1822,2021-01-27,2022-05-04,9999-12-31,FA,AB
49,499,2021-07-14,2021-11-13,2022-03-29,FA,CE
50,773,2021-12-30,2022-05-27,9999-12-31,IN,AB
51,677,2021-12-02,2021-04-04,2021-07-08,IN,CE
52,1323,2022-06-15,2020-10-30,2022-02-06,FA,CE
53,538,2022-03-25,2021-10-27,9999-12-31,RE,AB
54,1603,2021-10-22,2022-03-03,9999-12-31,FA,AB
55,140,2021-11-01,2021-09-30,9999-12-31,FA,AB
56,369,2021-02-19,2021-04-26,9999-12-31,FA,AB
57,1726,2021-11-01,2021-10-05,2022-04-16,RE,CE
58,535,2021-06-28,2021-05-31,9999-12-31,RE,AB
59,1411,2020-12-01,2021-12-21,2021-12-23,RE,CE
60,327,2022-03-21,2020-12-21,2022-03-02,FA,CE
61,1902,2021-07-31,2021-02-27,2021-05-16,RE,CE
62,1811,2021-10-23,2021-04-09,2022-01-12,IN,CE
63,1588,2021-04-15,2021-01-08,9999-12-31,FA,AB
64,1172,2022-01-06,2021-08-16,2022-03-31,IN,CE
65,714,2021-03-12,2020-10-23,9999-12-31,IN,AB
66,1949,2021-04-23,2022-03-21,9999-12-31,FA,AB
67,682,2022-01-02,2020-12-29,9999-12-31,RE,AB
68,1188,2021-04-09,2021-08-23,9999-12-31,IN,AB
69,1982,2021-08-02,2021-01-05,2021-08-16,FA,CE
70,309,2020-10-13,2021-04-04,9999-12-31,IN,AB
71,1915,2021-06-06,2021-06-17,2022-02-05,IN,CE
72,1088,2020-12-17,2022-06-06,2022-06-25,RE,CE
73,1809,2021-11-26,2022-03-27,2022-04-14,IN,CE
74,1968,2021-10-05,2021-04-15,9999-12-31,RE,AB
75,124,2021-05-13,2021-08-14,9999-12-31,FA,AB
76,193,2020-11-19,2021-06-21,9999-12-31,FA,AB
77,313,2021-12-10,2021-12-16,2022-05-04,IN,CE
78,1512,2020-12-20,2020-11-26,9999-12-31,RE,AB
79,526,2021-12-03,2022-04-08,9999-12-31,IN,AB
80,584,2022-05-28,2020-10-31,2020-11-24,FA,CE
81,1014,2021-09-18,2021-07-24,2022-04-01,FA,CE
82,243,2021-09-09,2021-09-27,2022-01-07,RE,CE
83,853,2021-04-16,2021-05-14,9999-12-31,FA,AB
84,718,2022-05-02,2021-09-16,2022-06-11,RE,CE
85,1315,2021-06-25,2022-03-28,9999-12-31,RE,AB
86,1848,2020-12-09,2022-03-30,9999-12-31,RE,AB
87,988,2021-07-09,2022-02-22,9999-12-31,RE,AB
88,475,2020-10-27,2022-05-19,2022-05-28,IN,CE
89,299,2022-03-02,2021-02-19,2022-06-10,RE,CE
90,1506,2021-04-18,2022-04-28,9999-12-31,IN,AB
91,1849,2022-03-09,2021-01-10,2021-07-17,IN,CE
92,738,2020-11-10,2020-10-18,9999-12-31,FA,AB
93,1176,2021-11-30,2021-02-24,2022-01-12,RE,CE
94,704,2021-10-31,2020-11-09,2022-01-09,FA,CE
95,1989,2021-06-02,2021-10-26,2022-04-01,RE,CE
96,285,2021-12-28,2021-02-04,9999-12-31,RE,AB
97,1863,2021-03-29,2022-05-17,2022-06-05,RE,CE
98,1388,2021-05-28,2020-10-16,2020-11-02,FA,CE
99,627,2021-01-25,2022-03-16,2022-06-26,FA,CE
100,1202,2022-03-26,2022-03-18,9999-12-31,IN,AB
101,878,2022-06-06,2021-11-12,9999-12-31,FA,AB
102,1428,2022-06-06,2022-04-18,2022-04-26,IN,CE
103,797,2022-06-23,2022-01-05,2022-06-02,FA,CE
104,409,2022-01-28,2021-07-01,2022-04-29,FA,CE
105,1057,2022-02-07,2021-07-08,2021-10-20,RE,CE
106,244,2021-07-03,2021-12-16,9999-12-31,FA,AB
107,1939,2021-02-22,2021-12-21,9999-12-31,IN,AB
108,1476,2021-06-30,2021-06-28,9999-12-31,IN,AB
109,1964,2022-02-12,2022-04-18,9999-12-31,IN,AB
110,1389,2022-06-28,2021-03-01,9999-12-31,IN,AB
111,1332,2020-11-28,2021-12-06,2022-06-17,FA,CE
112,1069,2021-02-12,2021-07-25,9999-12-31,FA,AB
113,1494,2021-05-22,2022-04-26,9999-12-31,RE,AB
114,791,2022-05-27,2020-11-15,2021-05-25,FA,CE
115,1795,2021-02-15,2021-10-25,2021-12-13,FA,CE
116,1015,2022-03-19,2021-08-19,2022-05-12,RE,CE
117,1528,2022-04-18,2021-10-29,9999-12-31,FA,AB
118,704,2021-03-17,2022-04-17,9999-12-31,IN,AB
119,1473,2021-10-26,2021-02-11,2022-03-16,RE,CE
120,308,2021-10-28,2021-05-22,2021-10-07,FA,CE
121,211,2020-10-21,2021-01-04,2022-04-27,FA,CE
122,653,2021-04-03,2021-08-10,9999-12-31,RE,AB
123,287,2021-10-26,2021-12-23,9999-12-31,FA,AB
124,732,2022-02-08,2022-03-31,9999-12-31,RE,AB
125,126,2022-02-22,2021-01-04,9999-12-31,FA,AB
126,141,2021-01-02,2021-07-03,2022-05-07,RE,CE
127,1136,2021-01-09,2021-04-18,9999-12-31,FA,AB
128,1824,2021-06-26,2022-03-02,2022-04-13,FA,CE
129,1558,2021-08-10,2020-10-29,2022-03-06,IN,CE
130,616,2021-06-24,2021-11-02,2022-06-24,IN,CE
131,1583,2021-04-21,2021-12-15,2022-05-15,IN,CE
132,233,2021-07-27,2021-06-07,9999-12-31,FA,AB
133,693,2021-11-17,2022-01-12,2022-05-22,FA,CE
134,1749,2021-07-29,2021-12-25,9999-12-31,IN,AB
135,1474,2021-01-30,2022-01-05,9999-12-31,FA,AB
136,714,2021-12-23,2021-07-26,9999-12-31,IN,AB
137,1595,2020-11-02,2021-11-21,2021-12-15,FA,CE
138,1423,2020-10-21,2021-04-08,2022-02-27,IN,CE
139,1114,2022-01-27,2020-10-16,2021-10-05,FA,CE
140,1375,2022-03-16,2021-07-14,2021-10-19,FA,CE
141,204,2021-05-14,2021-06-10,9999-12-31,IN,AB
142,1993,2022-04-14,2021-11-12,2022-01-12,RE,CE
143,631,2021-08-02,2021-04-25,9999-12-31,RE,AB
144,1582,2021-02-20,2021-03-30,2021-04-30,RE,CE
145,404,2021-11-28,2022-04-26,2022-05-27,FA,CE
146,1830,2021-08-26,2022-02-05,9999-12-31,FA,AB
147,1658,2021-08-23,2021-03-21,9999-12-31,RE,AB
148,1438,2022-03-01,2021-10-24,9999-12-31,IN,AB
149,1900,2020-12-10,2021-05-19,9999-12-31,RE,AB
150,1069,2022-01-09,2020-10-18,9999-12-31,RE,AB
151,181,2022-01-20,2021-11-11,9999-12-31,RE,AB
152,571,2021-02-08,2021-03-06,2021-10-24,RE,CE
153,1572,2021-01-08,2021-12-15,2022-04-21,FA,CE
154,226,2021-08-21,2021-12-22,9999-12-31,FA,AB
155,638,2020-12-20,2022-04-28,9999-12-31,FA,AB
156,856,2021-10-26,2022-06-03,2022-06-06,FA,CE
157,1882,2021-04-09,2020-11-12,2022-06-27,IN,CE
158,14,2022-01-18,2021-01-16,2021-11-24,RE,CE
159,1780,2021-07-03,2020-12-22,9999-12-31,RE,AB
160,1573,2022-03-18,2021-03-22,2021-11-06,IN,CE
161,1832,2021-02-27,2022-06-03,9999-12-31,RE,AB
162,356,2021-02-26,2021-12-31,9999-12-31,IN,AB
163,1235,2022-01-16,2021-04-13,2022-04-19,IN,CE
164,188,2021-06-09,2021-12-11,2021-12-16,RE,CE
165,370,2022-02-15,2022-03-17,9999-12-31,IN,AB
166,1249,2021-01-23,2022-03-03,2022-06-05,FA,CE
167,519,2021-08-13,2021-05-28,9999-12-31,RE,AB
168,6,2021-06-08,2021-10-23,2021-10-26,IN,CE
169,1714,2022-05-30,2022-01-24,9999-12-31,IN,AB
170,733,2021-03-26,2022-01-27,9999-12-31,RE,AB
171,1316,2021-08-16,2021-10-11,9999-12-31,IN,AB
172,248,2021-08-16,2021-01-13,2021-12-16,RE,CE
173,1491,2021-05-15,2021-09-12,9999-12-31,FA,AB
174,1846,2021-07-26,2021-11-27,9999-12-31,FA,AB
175,384,2022-05-29,2021-09-13,2022-01-10,RE,CE
176,1337,2021-03-15,2021-10-30,2021-12-26,RE,CE
177,11,2021-12-28,2022-04-08,2022-05-31,IN,CE
178,1780,2022-03-31,2022-06-23,9999-12-31,FA,AB
179,1368,2021-11-03,2022-03-11,2022-04-14,IN,CE
180,1269,2021-09-12,2020-12-01,2022-05-24,RE,CE
181,1065,2022-07-04,2022-02-19,2022-02-21,IN,CE
182,415,2021-12-30,2022-01-08,9999-12-31,RE,AB
183,1671,2021-06-30,2022-01-17,9999-12-31,IN,AB
184,1849,2022-05-22,2020-12-28,9999-12-31,RE,AB
185,786,2021-11-01,2022-01-22,2022-02-09,IN,CE
186,45,2021-07-17,2022-06-24,9999-12-31,RE,AB
187,59,2021-09-09,2021-09-08,9999-12-31,FA,AB
188,1417,2021-02-26,2022-07-03,2022-07-04,IN,CE
189,204,2022-01-27,2021-07-09,2021-08-13,IN,CE
190,508,2021-05-31,2022-05-14,9999-12-31,RE,AB
191,626,2021-02-09,2022-02-26,2022-03-13,RE,CE
192,1622,2020-11-03,2022-03-14,2022-06-14,RE,CE
193,53,2022-04-12,2022-05-14,9999-12-31,FA,AB
